days,date_2019,speed_2019,travel_time_2019,date_2020,speed_2020,travel_time_2020
91,2019-06-03 00:00:00,34.44751851851852,222.15908289241622,2020-06-02 00:00:00,41.4799425756725,165.5381297534582
92,2019-06-04 00:00:00,34.85809576719577,220.5004232804233,2020-06-03 00:00:00,41.270067906101374,171.85187822681146
93,2019-06-05 00:00:00,33.74156332012556,229.3261719755056,2020-06-04 00:00:00,41.37148477835143,167.53394033418957
94,2019-06-06 00:00:00,32.27152581252094,238.39732982808835,2020-06-05 00:00:00,40.38633434217554,172.8554134133625
95,2019-06-07 00:00:00,32.21365483539095,237.8866769547325,2020-06-06 00:00:00,42.397788092270915,172.9137567079529
96,2019-06-08 00:00:00,34.826548252181546,206.80773997005215,2020-06-07 00:00:00,44.305819393755066,151.29427716950528
97,2019-06-09 00:00:00,37.561984310699586,188.50900205761317,2020-06-08 00:00:00,41.73360334698238,164.51990131997252
98,2019-06-10 00:00:00,34.06149723356947,218.71823775789855,2020-06-09 00:00:00,40.62513686131387,167.37667274939173
99,2019-06-11 00:00:00,31.93620182501342,287.1295222758991,2020-06-10 00:00:00,40.70159997393118,165.07035323253388
100,2019-06-12 00:00:00,32.50754437478507,232.55834193053462,2020-06-11 00:00:00,40.399300556534385,157.5462706602903
101,2019-06-13 00:00:00,33.275830050212434,231.23272820908974,2020-06-12 00:00:00,38.83843971810992,173.90886736970188
102,2019-06-14 00:00:00,31.926474472288657,247.97959342830404,2020-06-13 00:00:00,40.16073150299951,166.5403177863049
103,2019-06-15 00:00:00,33.84728413570992,207.78016547281914,2020-06-14 00:00:00,28.28096924138432,113.42110614809165
104,2019-06-16 00:00:00,33.34588174774137,200.34054592804551,2020-06-15 00:00:00,32.72911136916611,143.5957199734572
105,2019-06-17 00:00:00,33.81223603355874,215.17921378265385,2020-06-16 00:00:00,40.571856611884826,162.32116788321167
106,2019-06-18 00:00:00,31.28042588569743,249.34556279668516,2020-06-17 00:00:00,39.90985248861873,169.02296599608331
107,2019-06-19 00:00:00,32.95497843992874,235.49058844793308,2020-06-18 00:00:00,39.990215237270434,165.93402786622175
108,2019-06-20 00:00:00,31.320087255079123,244.19531713865297,2020-06-19 00:00:00,38.265777719847065,180.69264859228363
109,2019-06-21 00:00:00,30.153250194250194,263.82346542346545,2020-06-20 00:00:00,41.37633224998668,157.65965155309286
110,2019-06-22 00:00:00,34.223975823045265,214.2576903292181,2020-06-21 00:00:00,42.2579873594778,157.59545148422524
111,2019-06-23 00:00:00,35.39432369355657,207.33561643835617,2020-06-22 00:00:00,40.20745903731305,162.21759991832985
112,2019-06-24 00:00:00,32.87938256549232,236.70984643179764,2020-06-23 00:00:00,38.97173219229801,171.2677070224012
113,2019-06-25 00:00:00,33.9170416990417,230.4755762755763,2020-06-24 00:00:00,38.503927336533,179.17985240233267
114,2019-06-26 00:00:00,31.546788986354777,259.237134502924,2020-06-25 00:00:00,33.86513541730639,188.80022108947983
115,2019-06-27 00:00:00,29.959069900886803,284.66536254564426,2020-06-26 00:00:00,36.481977725472184,187.38779493656352
116,2019-06-28 00:00:00,31.57999275967697,270.8783068783069,2020-06-27 00:00:00,40.70789054314861,169.9665288116901
117,2019-06-29 00:00:00,34.82246671508109,217.40440571290245,2020-06-28 00:00:00,42.440705013331005,153.0403863805236
118,2019-06-30 00:00:00,34.44587448559671,220.66947873799725,2020-06-29 00:00:00,38.83981222488438,175.11171783585002
119,2019-07-01 00:00:00,34.331077030776015,234.6263320283129,2020-06-30 00:00:00,38.2699825552036,178.22191617316255
